months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,_c39
328,48,521585,2014-10-17,MH,250/500,83000,116773.53000000001,0,466132,MALE,MD,craft-repair,sleeping,husband,4423900,0,2015-01-25,Single Vehicle Collision,Side Collision,Major Damage,Police,TN,Columbus,9935 4th Drive,5,1,YES,1,2,YES,5943630,540330,1080660,4322640,Saab,92x,2004,Y,
228,42,342868,2006-06-27,KA,250/500,166000,99369.26000000001,415000000,468176,MALE,MD,machine-op-inspct,reading,other-relative,0,0,2015-01-21,Vehicle Theft,?,Minor Damage,Police,UP,Riverwood,6608 MLK Hwy,8,1,?,0,0,?,420810,64740,64740,291330,Mercedes,E400,2007,Y,
134,29,687698,2000-09-06,MH,100/300,166000,117290.62000000001,415000000,430632,FEMALE,PhD,sales,board-games,own-child,2913300,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,DL,Columbus,7121 Francis Lane,7,3,NO,2,3,NO,2875950,639100,319550,1917300,Dodge,RAM,2007,N,
256,41,227811,1990-05-25,TS,250/500,166000,117506.42,498000000,608117,FEMALE,PhD,armed-forces,board-games,unmarried,4058700,-5179200,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Police,MH,Arlington,6956 Maple Drive,5,1,?,1,2,NO,5262200,526220,526220,4209760,Chevrolet,Tahoe,2014,Y,
228,44,367455,2014-06-06,TS,500/1000,83000,131464.53,498000000,610706,MALE,Associate,sales,board-games,unmarried,5478000,-3818000,2015-02-17,Vehicle Theft,?,Minor Damage,,DL,Arlington,3041 3rd Ave,20,1,NO,0,1,NO,539500,107900,53950,377650,Accura,RSX,2009,N,
256,39,104594,2006-10-12,MH,250/500,83000,112141.29999999999,0,478456,FEMALE,PhD,tech-support,bungie-jumping,unmarried,0,0,2015-01-02,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,TN,Arlington,8973 Washington St,19,3,NO,0,2,NO,5320300,532030,532030,4256240,Saab,95,2003,Y,
137,34,413978,2000-06-04,KA,250/500,83000,110668.04999999999,0,441716,MALE,PhD,prof-specialty,board-games,husband,0,-6391000,2015-01-13,Multi-vehicle Collision,Front Collision,Minor Damage,Police,DL,Springfield,5846 Weaver Drive,0,3,?,0,0,?,6527950,1780350,593450,4154150,Nissan,Pathfinder,2012,N,
165,37,429027,1990-02-03,TS,100/300,83000,94373.48999999999,0,603195,MALE,Associate,tech-support,base-jumping,unmarried,0,0,2015-02-27,Multi-vehicle Collision,Front Collision,Total Loss,Police,UP,Columbus,3525 3rd Hwy,23,3,?,2,2,YES,4281970,778540,778540,2724890,Audi,A5,2015,N,
27,33,485665,1997-02-05,TS,100/300,41500,119768.17,0,601734,FEMALE,PhD,other-service,golf,own-child,0,0,2015-01-30,Single Vehicle Collision,Front Collision,Total Loss,Police,WB,Arlington,4872 Rock Ridge,21,1,NO,1,1,YES,2299100,229910,229910,1839280,Toyota,Camry,2012,N,
212,42,636550,2011-07-25,TS,100/300,41500,109201.44,0,600983,MALE,PhD,priv-house-serv,camping,wife,0,-3261900,2015-01-05,Single Vehicle Collision,Rear Collision,Total Loss,Other,GJ,Hillsdale,3066 Francis Ave,14,1,NO,2,1,?,3510900,390100,390100,2730700,Saab,92x,1996,N,
235,42,543610,2002-05-26,MH,100/300,41500,104008.95999999999,332000000,462283,FEMALE,Masters,exec-managerial,dancing,other-relative,3187200,0,2015-01-06,Single Vehicle Collision,Front Collision,Total Loss,Police,DL,Northbend,1558 1st Ridge,22,1,YES,2,2,?,7221830,656530,1313060,5252240,Ford,F150,2002,N,
447,61,214618,1999-05-29,MH,100/300,166000,94384.28000000001,0,615561,FEMALE,High School,exec-managerial,skydiving,other-relative,0,-4233000,2015-02-15,Multi-vehicle Collision,Front Collision,Major Damage,Fire,TN,Springfield,5971 5th Hwy,21,3,YES,1,2,YES,9538360,1467440,1467440,6603480,Audi,A3,2006,N,
60,23,842643,1997-11-20,MH,500/1000,41500,100874.87999999999,249000000,432220,MALE,MD,protective-serv,reading,wife,0,0,2015-01-22,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,TN,Northbend,6655 5th Drive,9,1,YES,1,0,NO,4691160,390930,781860,3518370,Saab,95,2000,N,
121,34,626808,2012-10-26,MH,100/300,83000,77738.63,0,464652,FEMALE,MD,armed-forces,bungie-jumping,wife,4382400,-2722400,2015-01-08,Parked Car,?,Minor Damage,,TN,Springfield,6582 Elm Lane,5,1,NO,1,1,NO,604240,92960,92960,418320,Toyota,Highlander,2010,N,
180,38,644081,1998-12-28,MH,250/500,166000,107993.79000000001,0,476685,FEMALE,College,machine-op-inspct,board-games,not-in-family,3427900,-4606500,2015-01-15,Single Vehicle Collision,Rear Collision,Total Loss,Police,TN,Springfield,6851 3rd Drive,12,1,NO,0,2,YES,3834600,348600,697200,2788800,Dodge,Neon,2003,Y,
473,58,892874,1992-10-19,KA,100/300,166000,93906.20000000001,0,458733,FEMALE,MD,transport-moving,movies,other-relative,4623100,0,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,Other,WB,Hillsdale,9573 Weaver Ave,12,4,YES,0,0,NO,5238960,873160,873160,3492640,Accura,MDX,1999,Y,
70,26,558938,2005-06-08,MH,500/1000,83000,99553.52,415000000,619884,MALE,College,machine-op-inspct,hiking,own-child,5278800,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Major Damage,Other,DL,Riverwood,5074 3rd St,0,3,?,1,2,YES,4325130,480570,480570,3363990,Nissan,Maxima,2012,N,
140,31,275265,2004-11-15,KA,500/1000,41500,58817.119999999995,498000000,470610,MALE,High School,machine-op-inspct,reading,unmarried,4440500,0,2015-01-06,Single Vehicle Collision,Side Collision,Total Loss,Police,WB,Northbend,4546 Tree St,9,1,NO,0,2,YES,6464040,1175280,587640,4701120,Suburu,Legacy,2015,N,
160,37,921202,2014-12-28,MH,500/1000,41500,114060.26000000001,0,472135,FEMALE,MD,craft-repair,yachting,other-relative,3776500,-3137400,2015-01-19,Single Vehicle Collision,Side Collision,Total Loss,Other,DL,Northbrook,3842 Solo Ridge,19,1,YES,1,0,NO,6053190,550290,1100580,4402320,Accura,TL,2015,N,
